faz_id	jobs_2043
8935	6522
8927	1395
8926	4059
8936	3972
8500	16858
8406	325
8320	15234
8925	3471
8937	9456
8405	1152
8310	11955
8910	3595
7905	6186
7606	918
7805	4162
8220	14323
8000	41094
8906	1566
8210	33981
9020	5173
8125	7270
8126	9505
8905	1235
7806	2212
7700	6188
7526	11423
7340	4468
7605	2163
7537	17681
8115	12881
7335	12178
8600	14310
7425	5608
7535	8197
7525	2964
7436	2806
9019	6088
7026	1926
7205	9218
7515	8956
7320	11815
7206	34162
7315	5364
7435	5298
7316	5330
7025	14179
7415	14619
7100	12484
7015	6660
9908	5050
6410	21288
6420	8968
5535	6799
5600	16567
5546	14659
4706	3007
6605	2954
6910	1590
6606	2017
9909	1657
9011	7023
5525	7658
5515	6713
6326	13569
9914	4557
5545	5177
6223	11307
5306	25558
6325	10041
9009	2778
9006	2836
6225	22146
9018	13110
5425	46761
5305	30067
5426	26274
6226	8073
6126	3960
6224	8878
6216	11287
6316	24551
6215	21302
5100	2004
6213	17274
9005	596
6124	14942
6125	12891
6214	32258
5415	67062
5205	43713
9916	2600
9913	6563
9915	3505
4606	4084
6115	10112
4820	7053
9017	393
6123	73663
6114	23475
4607	9114
6505	3881
5020	9826
6113	45571
5010	14119
6020	80626
4900	88700
6010	140427
4400	10759
9900	2755
9904	7720
9902	28392
4810	9096
5720	16285
9901	6928
5826	10507
5825	58271
5925	24594
9015	2308
4506	32832
4605	31394
9002	10978
4226	4065
4505	1827
4225	3910
5716	11142
5916	9570
4300	27658
5815	30941
9004	7425
5715	2747
3330	3258
6506	12596
5915	6506
3905	25272
4130	31930
6930	4411
3825	10600
4120	4886
3816	5523
4210	7927
9016	2297
4005	2335
4230	2519
3815	12677
3705	41760
3900	38033
4110	39909
3416	3724
3413	1897
3706	4983
3600	78989
3415	5620
3320	7273
3505	26862
3414	3643
6900	2322
2940	3515
2216	5210
3046	12880
2225	7801
3426	4108
3427	7346
3045	5312
3310	7527
3030	13100
3130	31710
3010	12755
3020	26697
3425	3975
2100	3080
1606	4336
2215	8124
1720	8538
3120	21060
1900	20177
3110	3939
3200	10333
1605	8528
2000	16537
1820	34573
1200	7394
1710	15325
1810	21433
900	13971
806	5529
1506	5174
1410	17935
1505	8033
1330	6631
1000	2762
1320	6166
1420	22220
1130	5673
1116	10055
1310	7971
805	6176
1115	6012
205	15314
136	5294
1120	18701
705	5843
120	1807
325	7805
135	3994
706	4269
206	10040
2910	1292
315	8951
2935	24316
605	4858
606	6840
506	11761
110	1561
505	19112
2936	3748
405	5411
2926	3960
2925	3642
2927	2225
