"Jurisdiction"	"TAZ"	"county"	"tract_usim"	"Tract"	"HH_LUV_40"	"HH_Comment_40"	"Emp_LUV_40"	"Emp_Comment_40"	"Comment"	"tract_6_digit"	"tractcity_id"
		33		"022803Bellevue"	43	22	736	487		22803	270
		33		"022901Bellevue"	3991	3853	3409	2835		22901	272
		33		"022901Bellevue"	1308	1144	606	581		22901	272
		33		"023000Bellevue"	2194	2881	2611	2480	"New development in BelRed under construction or in permit review"	23000	278
"Burien"		33	33026400	"026400Burien"	885	1085	645	845	"High density multi-family zoning available. On Jobs: this field was suppressed, burien indicated 200 growth"	26400	413
"Burien"		33	33026802	"026802Burien"	2093	1801	462	462	"Limited multi-family lots and small lot sizes. No job chagne"	26802	427
"Burien"		33	33027000	"027000Burien"	1855	1422	228	228	"Opportunity for some single-family and limitted multi-family zoned land. No job chagne"	27000	429
"Burien"		33	33027100	"027100Burien"	1722	1622	522	522	"Single-family and lower density multi-family available. No job chagne"	27100	431
"Burien"		33	33027400	"027400Burien"	2477	2239	2240	3040		27400	438
"Burien"		33	33027500	"027500Burien"	2160	2078	2419	1619	"Adjusted down to reflect more contrained housing potential."	27500	440
"Burien"		33	33027600	"027600Burien"	1729	1887	779	779	"MFR potential along Ambaum Blvd SW. No job change"	27600	441
"Burien"		33	33027800	"027800Burien"	1440	1382	195	195	"Limted SFR development potential. No job change"	27800	444
"Burien"		33	33027900	"027900Burien"	4250	5308	9939	9339	"HH change, no job change"	27900	446
"Burien"		33	33028000	"028000Burien"	1799	1999	1893	2193	"High density multi-family potential. On Jobs: this field was suppressed, burien indicated 300 growth"	28000	448
"Burien"		33	33028402	"028402Burien"	42	29	860	760	"Single-family prohibited in this area."	28402	458
"Burien"		33	33028500	"028500Burien"	2343	1923	1038	1238	"Limited multi-family lots and small lot sizes. On Jobs: this field was suppressed, burien indicated 200 growth"	28500	461
"Burien"		33	33028600	"028600Burien"	153	173	217	217	"Minor adjustment up reflecting SFR housing potential. No job change"	28600	464
"Federal Way"		53	53030004	"030004Federal Way"	3444	3265	631	304	"PSRC #s appear too high. There are only two small Neighborhood Business (BN) zoned areas in this Census Tract and one small BC zoned strip."	30004	541
"Federal Way"		53	53030005	"030005Federal Way"	2269	1954	646	507	"PSRC #s appear too high."	30005	543
"Federal Way"		53	53030006	"030006Federal Way"	2365	4688	5839	6044	"City # seems more accurate. This includes a portion of the CC-C & CC-F"	30006	544
"Federal Way"		53	53030100	"030100Federal Way"	3294	3012	1175	466	"PSRC #s appear too high. There are only two small Neighborhood Business (BN) zoned areas in this Census Tract."	30100	546
"Federal Way"		53	53030201	"030201Federal Way"	2407	2188	1194	487	"PSRC #s appear too high. There is only one small Neighborhood Business (BN) zoned area in this Census Tract."	30201	547
"Federal Way"		53	53030202	"030202Federal Way"	3015	3165	3608	2960	"PSRC jobs #s appear too high. Even though this is zoned CC-F, there is not much capacity for jobs as much of the  CC-F area west of Pac Hwy \nhas newer development and there is a new mixed-use development under construction. The new area under construction"	30202	548
"Federal Way"		53	53030304	"030304Federal Way"	2053	1625	3434	3631	"PSRC households appear too high. The majority of the Tract has low density zoning and a large portion is the Hylebos Wetlands.\nThere are also wetlands in Spring Valley and the Gethsemane Cemetery is located within this tract. Jobs might be al little low a"	30304	549
"Federal Way"		53	53030305	"030305Federal Way"	2590	2172	967	419	"There is not enough capacity to accommodate the PSRC forecasted jobs and households.\n In addition, there is only one small Neighborhood Business (BN) zoned area in this Census Tract."	30305	553
"Federal Way"		53	53030306	"030306Federal Way"	2313	1883	1641	225	"There is not enough capacity to accommodate the PSRC's forecasted  households.\n There is a small BN-zoned area on the Pierce County line. There should be jobs allocated to this Census Tract."	30306	554
"Federal Way"		53	53030308	"030308Federal Way"	2552	2221	676	521	"There is not enough capacity to accommodate the PSRC forecasted jobs and households.\n In addition, there is only one small Neighborhood Business (BN) zoned area in this Census Tract."	30308	557
"Federal Way"		53	53030309	"030309Federal Way"	2701	2428	3414	2038	"PSRC forecasted jobs seem too high. There is limited commercial zoning -- one BN-zoned and one BC-zoned area."	30309	558
"Federal Way"		53	53030310	"030310Federal Way"	2641	2334	1903	965	"There is not enough capacity to accommodate the PSRC forecasted jobs and households. \n There two Neighborhood Business (BN) zoned areas in this Census Tract."	30310	559
